resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,pitstopId
212,28,4,4,5,7,4,4,4,5.0,70,+21.614,5868681,47,8,1:21.793,192.823,1,4_28
213,28,1,1,22,1,5,5,5,4.0,70,+23.048,5870115,15,3,1:21.493,193.533,1,1_28
214,28,12,4,6,10,6,6,6,3.0,70,+32.298,5879365,64,4,1:21.537,193.428,1,12_28
215,28,15,7,11,9,7,7,7,2.0,70,+36.449,5883516,65,5,1:21.638,193.189,1,15_28
216,28,9,2,4,4,8,8,8,1.0,70,+48.321,5895388,70,9,1:21.941,192.475,1,9_28
217,28,17,9,10,8,9,9,9,0.0,70,+58.834,5905901,67,10,1:22.125,192.043,1,17_28
218,28,2,2,3,15,10,10,10,0.0,70,+1:07.709,5914776,67,11,1:22.183,191.908,1,2_28
219,28,14,9,9,13,11,11,11,0.0,70,+1:10.407,5917474,67,16,1:22.732,190.634,1,14_28
220,28,18,11,16,12,12,12,12,0.0,69,\N,\N,63,13,1:22.397,191.409,11,18_28
221,28,6,3,8,16,13,13,13,0.0,69,\N,\N,67,18,1:23.307,189.319,11,6_28
222,28,3,3,7,14,14,14,14,0.0,69,\N,\N,57,12,1:22.397,191.409,11,3_28
223,28,21,10,21,18,15,15,15,0.0,69,\N,\N,68,15,1:22.641,190.844,11,21_28
224,28,22,11,17,17,16,16,16,0.0,68,\N,\N,65,14,1:22.436,191.319,12,22_28
225,28,13,6,2,3,17,17,17,0.0,67,\N,\N,16,2,1:21.355,193.861,5,13_28
226,28,7,5,14,19,18,18,18,0.0,67,\N,\N,29,17,1:23.220,189.516,13,7_28
227,28,16,10,20,20,\N,R,19,0.0,62,\N,\N,29,19,1:23.650,188.542,23,16_28
228,28,20,5,15,11,\N,R,20,0.0,22,\N,\N,17,20,1:24.222,187.262,25,20_28
229,29,13,6,2,1,1,1,1,10.0,57,1:35:32.339,5732339,36,1,1:38.708,197.637,1,13_29
230,29,1,1,22,2,2,2,2,8.0,57,+5.611,5737950,16,2,1:38.884,197.285,1,1_29
231,29,9,2,4,3,3,3,3,6.0,57,+37.353,5769692,38,4,1:39.330,196.399,1,9_29
232,29,5,1,23,5,4,4,4,5.0,57,+39.703,5772042,19,3,1:39.112,196.831,1,5_29
233,29,15,7,11,7,5,5,5,4.0,57,+50.684,5783023,37,12,1:39.657,195.755,1,15_29
234,29,20,5,15,6,6,6,6,3.0,57,+52.625,5784964,36,6,1:39.485,196.093,1,20_29
235,29,10,7,12,13,7,7,7,2.0,57,+1:07.990,5800329,54,8,1:39.535,195.995,1,10_29
236,29,3,3,7,9,8,8,8,1.0,57,+1:11.457,5803796,35,10,1:39.577,195.912,1,3_29
237,29,2,2,3,8,9,9,9,0.0,57,+1:22.177,5814516,57,7,1:39.526,196.013,1,2_29
238,29,7,5,14,10,10,10,10,0.0,57,+1:29.794,5822133,35,11,1:39.639,195.790,1,7_29
239,29,12,4,6,15,11,11,11,0.0,57,+1:32.717,5825056,29,9,1:39.544,195.977,1,12_29
240,29,17,9,10,14,12,12,12,0.0,56,\N,\N,27,14,1:40.264,194.570,11,17_29
241,29,18,11,16,16,13,13,13,0.0,56,\N,\N,21,18,1:40.763,193.606,11,18_29
242,29,21,10,21,18,14,14,14,0.0,56,\N,\N,54,15,1:40.353,194.397,11,21_29
243,29,6,3,8,11,15,15,15,0.0,56,\N,\N,56,13,1:39.803,195.469,11,6_29
244,29,22,11,17,19,16,16,16,0.0,56,\N,\N,56,16,1:40.593,193.933,11,22_29
245,29,14,9,9,17,17,17,17,0.0,56,\N,\N,13,19,1:40.978,193.194,11,14_29
246,29,8,6,1,4,\N,R,18,0.0,45,\N,\N,34,5,1:39.424,196.214,5,8_29
247,29,16,10,20,20,\N,R,19,0.0,41,\N,\N,28,17,1:40.661,193.802,3,16_29
248,29,4,4,5,12,\N,R,20,0.0,0,\N,\N,\N,\N,\N,\N,4,4_29
249,30,13,6,2,2,1,1,1,10.0,44,1:22:59.394,4979394,26,3,1:48.222,232.987,1,13_30
250,30,2,2,3,5,2,2,2,8.0,44,+9.383,4988777,36,7,1:49.067,231.182,1,2_30
251,30,1,1,22,1,3,3,3,6.0,44,+10.539,4989933,20,2,1:48.135,233.175,1,1_30
252,30,4,4,5,6,4,4,4,5.0,44,+14.478,4993872,25,9,1:49.238,230.820,1,4_30
253,30,20,5,15,10,5,5,5,4.0,44,+14.576,4993970,16,8,1:49.086,231.142,1,20_30
254,30,9,2,4,8,6,6,6,3.0,44,+15.037,4994431,36,5,1:48.965,231.399,1,9_30
255,30,7,5,14,9,7,7,7,2.0,44,+16.735,4996129,31,6,1:49.002,231.320,1,7_30
256,30,17,9,10,7,8,8,8,1.0,44,+42.776,5022170,34,10,1:49.515,230.236,1,17_30
257,30,10,7,12,13,9,9,9,0.0,44,+1:07.045,5046439,37,12,1:50.255,228.691,1,10_30
258,30,5,1,23,3,10,10,10,0.0,43,\N,\N,35,4,1:48.223,232.985,6,5_30
259,30,14,9,9,14,11,11,11,0.0,43,\N,\N,19,11,1:50.177,228.853,11,14_30
